DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY_NEW,CANCELLED,WEATHER_DELAY
1,8/26/2019,EV,4285,12266,13256,750,16,0,
1,8/5/2019,EV,4286,12266,13871,935,0,0,
1,8/12/2019,EV,4286,12266,13871,935,0,0,
1,8/19/2019,EV,4286,12266,13871,935,0,0,
1,8/5/2019,EV,4286,13061,12266,730,0,0,
1,8/12/2019,EV,4286,13061,12266,730,0,0,0
1,8/19/2019,EV,4286,13061,12266,730,0,0,
1,8/26/2019,EV,4286,13061,12266,730,0,0,0
1,8/5/2019,EV,4287,12266,12217,955,0,0,
1,8/12/2019,EV,4287,12266,12217,955,1,0,
1,8/19/2019,EV,4287,12266,12217,955,0,0,
1,8/26/2019,EV,4288,12266,15624,1945,0,0,
1,8/5/2019,EV,4290,12266,13487,750,0,0,
1,8/12/2019,EV,4290,12266,13487,750,0,0,
1,8/19/2019,EV,4290,12266,13487,750,0,0,
1,8/26/2019,EV,4291,13198,12266,850,,1,
1,8/5/2019,EV,4293,11618,13577,1400,0,0,
1,8/12/2019,EV,4293,11618,13577,1400,62,0,0
1,8/19/2019,EV,4293,11618,13577,1400,,1,
1,8/5/2019,EV,4294,12266,14193,935,11,0,
1,8/12/2019,EV,4294,12266,14193,935,0,0,
1,8/19/2019,EV,4294,12266,14193,935,0,0,
1,8/26/2019,EV,4294,12266,14193,935,0,0,
1,8/5/2019,EV,4295,12951,12266,940,0,0,
1,8/12/2019,EV,4295,12951,12266,940,0,0,0
1,8/19/2019,EV,4295,12951,12266,940,0,0,
1,8/26/2019,EV,4295,12951,12266,935,0,0,0
1,8/5/2019,EV,4297,12953,11042,630,0,0,
1,8/12/2019,EV,4297,12953,11042,630,0,0,
1,8/19/2019,EV,4297,12953,11042,630,149,0,0
1,8/26/2019,EV,4297,12953,11042,630,0,0,
1,8/26/2019,EV,4298,14108,13930,1720,169,0,0
1,8/5/2019,EV,4299,14193,12266,700,0,0,
1,8/12/2019,EV,4299,14193,12266,700,0,0,
1,8/19/2019,EV,4299,14193,12266,700,0,0,
1,8/5/2019,EV,4300,14524,11618,930,0,0,
1,8/12/2019,EV,4300,14524,11618,930,0,0,
1,8/19/2019,EV,4300,14524,11618,930,,1,
1,8/26/2019,EV,4300,14524,11618,930,7,0,
1,8/19/2019,EV,4301,11003,13930,931,0,0,
1,8/5/2019,EV,4302,11042,11278,1800,0,0,
1,8/12/2019,EV,4302,11042,11278,1800,0,0,
1,8/19/2019,EV,4302,11042,11278,1800,56,0,0
1,8/26/2019,EV,4302,11042,11278,1800,0,0,
1,8/5/2019,EV,4302,12953,11042,1320,0,0,
1,8/12/2019,EV,4302,12953,11042,1320,0,0,
1,8/19/2019,EV,4302,12953,11042,1320,0,0,
1,8/26/2019,EV,4302,12953,11042,1320,0,0,
1,8/5/2019,EV,4303,14574,13930,1105,47,0,0
1,8/12/2019,EV,4303,14574,13930,1105,0,0,
1,8/19/2019,EV,4303,14574,13930,1105,34,0,0
1,8/5/2019,EV,4304,12451,11618,1130,149,0,0
1,8/12/2019,EV,4304,12451,11618,1130,0,0,0
1,8/19/2019,EV,4304,12451,11618,1130,67,0,0
1,8/26/2019,EV,4304,12951,12266,1850,0,0,
1,8/5/2019,EV,4305,11618,14307,1735,0,0,
1,8/12/2019,EV,4305,11618,14307,1735,0,0,
1,8/19/2019,EV,4305,11618,14307,1735,5,0,0
1,8/5/2019,EV,4306,12266,12448,1005,0,0,
1,8/12/2019,EV,4306,12266,12448,1005,3,0,
1,8/19/2019,EV,4306,12266,12448,1005,4,0,0
1,8/5/2019,EV,4308,11042,12953,1400,0,0,
1,8/12/2019,EV,4308,11042,12953,1400,0,0,
1,8/19/2019,EV,4308,11042,12953,1400,39,0,
1,8/26/2019,EV,4308,11042,12953,1410,0,0,
1,8/5/2019,EV,4309,13422,12266,700,0,0,
1,8/12/2019,EV,4309,13422,12266,700,0,0,
1,8/19/2019,EV,4309,13422,12266,700,0,0,0
1,8/26/2019,EV,4309,13422,12266,700,0,0,
